strategy,narrative_element,count
Imitation,CharacterIdentity,10
Imitation,CharacterArc,1
Imitation,CharacterFunction,4
Imitation,EventSequence,3
Transformation,CharacterArc,2
Transformation,CharacterFunction,4
Transformation,Chronotope,6
Transformation,WorldRules,2
Transformation,EventSequence,1
Transformation,Focalization,3
Transformation,ContentDomain,5
Transformation,MediumType,8
Inheritance,CharacterIdentity,2
Inheritance,Chronotope,1
Inheritance,WorldRules,4
Inheritance,EventSequence,4
Inheritance,RelationType,4
Inheritance,RelationTopology,2
Inheritance,ContentDomain,1
